bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
R2| 0.286 | 0.248 | 0.390 | 0.491 | 0.477 | 0.494 |
  |   K%  |  BB%  |  HR%  |   H%  |  2B%  |  ERA  |
R2| 0.520 | 0.496 | 0.415 | 0.213 | 0.002 | 0.299 |
ERA: 4.55, FIP: 3.37

Batting: 8876/22179 0.286/0.714
Pitching: 11929/17489 0.406/0.594

SS Ayo, A              ML 26 | .305/.392/.530 123     | .305/.392/.530 123     |  + || 123 | -3665--- | SS,IF,H
CF Shipman, A      F   ML 34 | .280/.370/.433 110     | .313/.380/.481 116     |    || 115 | -3---989 | CF,OF,H
2B Michael, L      F   ML 35 | .292/.374/.424 110     | .286/.367/.417 108     | -- || 109 | -877---- | IF,H
3B Alvarez, P      F   ML 39 | .227/.283/.361  88     | .273/.356/.439 108     | +  || 105 | -3-4---- | IF,H
1B Terrazas, A         ML 26 | .231/.311/.332  90     | .283/.371/.393 107     |  + || 104 | -4------ | H
LF Baldwin, G          ML 35 | .234/.312/.366  94     | .284/.345/.431 105     |  + || 104 | -4---3-- | OF,H
3B Asche, C        F   ML 35 | .264/.343/.385 101     | .262/.333/.382  99     |  + ||  99 | -356---- | IF,H
CF Piscotty, S     F   ML 35 | .290/.341/.406 102     | .278/.327/.385  98     | -  ||  99 | -2---646 | CF,OF,H
CF Aplin, A            ML 35 | .255/.304/.384  94     | .270/.322/.399  98     |  + ||  98 | -2---878 | CF,OF,H
SS Paredes, J      F   ML 37 | .259/.273/.379  87     | .273/.306/.407  96     | ++ ||  95 | -26562-7 | SS,OF,IF,H
DH Greene, T          AAA 33 | .240/.283/.329  84     | .269/.318/.363  94     |  + ||  93 | -2------ | H
SS Machado, D          ML 34 | .271/.341/.341  96     | .264/.326/.325  92     |  + ||  93 | -3788--- | SS,IF,H
CF Puello, C           ML 35 | .297/.353/.425 106     | .246/.296/.364  90     |  - ||  93 | 23---434 | CF,C,OF,H
CF Olguin, J        9 AAA 23 | .213/.302/.321  88     | .224/.318/.335  92     | ++ ||  91 | -2---646 | CF,OF,H
CF Fuentes, R          ML 35 | .213/.249/.277  73     | .266/.310/.366  93     |  + ||  90 | -8---999 | CF,OF,H
2B Lavery, H       F  AAA 26 | .242/.274/.355  85     | .247/.279/.362  87     | -  ||  87 | -36----- | IF,H
1B Warren, J        3 AAA 24 | .226/.290/.323  85     | .226/.291/.325  86     | -  ||  86 | -3------ | H
2B Ramirez, C         AAA 22 | .200/.240/.290  73     | .235/.282/.333  85     | ++ ||  83 | -25----- | IF,H
SS Hachiro, S       8 AAA 25 | .220/.250/.346  80     | .215/.245/.339  79     |  - ||  79 | -4889--- | SS,IF,H
C  Velez, J            ML 27 | .214/.249/.317  77     | .220/.256/.324  79     |  - ||  79 | 7------- | C,H
LF Baca, P         FT AAA 23 | .197/.240/.282  72     | .215/.265/.305  79     |  - ||  78 | -2---4-2 | OF,H
SS Gamboa, A          AAA 23 | .212/.256/.283  75     | .214/.258/.287  76     |    ||  76 | -38-72-5 | SS,IF,OF,H
LF Moreno, F       F  AAA 27 | .213/.261/.297  78     | .205/.249/.287  74     |  + ||  75 | -2---5-3 | OF,H
CF Canty, E           AAA 22 | .214/.246/.285  73     | .206/.237/.278  71     |  + ||  71 | -3---494 | CF,OF,H
CF Linder, S       F  AAA 26 | .208/.262/.276  76     | .192/.241/.257  70     | ++ ||  71 | -2---868 | CF,OF,H
RF Mitsuo, K          AAA 20 | .228/.256/.292  76     | .206/.230/.265  68     |  + ||  70 | -2---4-5 | OF,H
CF Pollock Jr., A     AAA 25 | .183/.210/.243  63     | .207/.241/.279  72     |  + ||  70 | -2---988 | CF,OF,H
LF Diaz, A            AAA 26 | .200/.212/.271  66     | .216/.229/.295  71     |  - ||  70 | -2---6-2 | OF,H
LF Chick, G        F   AA 22 | .181/.224/.245  66     | .191/.236/.258  69     |  - ||  69 | -2---3-- | OF,H
C  Rodriguez, C       AAA 22 | .209/.231/.288  71     | .199/.220/.275  67     |  + ||  68 | 5------- | C,H
RF Reck, L             AA 23 | .197/.243/.261  71     | .188/.230/.250  67     |    ||  68 | -1-----4 | OF,H
3B Edson, M            AA 28 | .187/.216/.297  69     | .183/.212/.291  68     |  + ||  68 | -3-7---- | IF,H
SS Crump, E            AA 21 | .197/.224/.259  67     | .197/.224/.259  67     | -+ ||  67 | -3765--- | SS,IF,H
LF Kroeger, H          AA 22 | .177/.219/.212  62     | .195/.244/.236  68     | -+ ||  67 | -2---4-2 | OF,H
LF McKeever, J         AA 24 | .183/.217/.247  65     | .191/.228/.257  67     | +  ||  67 | -2---5-5 | OF,H
2B Essex, A            AA 25 | .197/.231/.265  69     | .191/.223/.257  67     |  + ||  67 | -26----- | IF,H
LF Millwood, E         AA 22 | .179/.196/.257  61     | .195/.215/.281  67     |  + ||  66 | -2---5-3 | OF,H
RF Mucci, T            AA 18 | .203/.236/.249  68     | .194/.224/.237  65     |    ||  65 | -2---7-7 | OF,H
3B Calvo, M            AA 20 | .195/.233/.240  67     | .189/.226/.234  65     | ++ ||  65 | -3-5---- | IF,H
