  GOSU: Coefficients(1.00, [0.78, 2.34, 3.9, 2.34, 0.039])
SIMPLE: Coefficients(1.00, [0.8, 2.1, 3.4, 1.8, 0.1])
 TANGO: Coefficients(1.00, [0.726, 1.948, 3.134, 1.694, 0.052])
CURENT: Coefficients(1.00, [1.0991639999999878, 2.947757999999968, 4.744875999999948, 0.046999999999998585, 0.053])
act: 8841


runBB: 0.37
run1B: 0.56
run2B: 0.89
run3B: 1.21
runHR: 1.01
rnBIP: -0.06

runs-: 0.30
runs+: 0.62
wobas: 1.09

wobaBB: 0.73
woba1B: 0.93
woba2B: 1.29
woba3B: 1.64
wobaHR: 1.42


Batting: 3249/8321 0.281/0.719
Pitching: 4807/5587 0.462/0.538

           Hits | 0.129
        Doubles | 0.040
        Triples | 0.010
       HomeRuns | 0.046
          Walks | 0.095
             Ks | 0.254
Features: Contact, Gap, Power, Eye, Avoid K's, Running Speed
-- Hits
Selected: RandomForestScores: [(0.33106932277099027, RandomForest(...)), (0.32298211906238355, Isotonic(...)), (0.30230213638087233, Huber(...)), (0.3161789808104978, Linear(...))]Best Parameters: {'regressor__max_depth': 49, 'regressor__n_estimators': 2, 'selection__k': 2}Feature Scores: [76. 54. 37. 29. 43.  3.]Feature Mask: [ True  True False False False False]Feature Importances: [0.838 0.162]
-- Doubles
Selected: RandomForestScores: [(0.1969395894029543, RandomForest(...)), (0.11424891233436622, Isotonic(...)), (0.105109431533975, Huber(...)), (0.10590451445816436, Linear(...))]Best Parameters: {'regressor__max_depth': 9, 'regressor__n_estimators': 99, 'selection__k': 4}Feature Scores: [18. 14. 13. 18. 24.  2.]Feature Mask: [ True  True False  True  True False]Feature Importances: [0.426 0.119 0.161 0.293]
-- Triples
Selected: RandomForestScores: [(0.17732601976482673, RandomForest(...)), (0.03307613521658045, Isotonic(...)), (0.12370702853816233, Huber(...)), (0.16043287803628128, Linear(...))]Best Parameters: {'regressor__max_depth': 8, 'regressor__n_estimators': 88, 'selection__k': 4}Feature Scores: [12. 35. 13.  9. 17. 22.]Feature Mask: [False  True  True False  True  True]Feature Importances: [0.237 0.207 0.381 0.176]
-- HomeRuns
Selected: HuberScores: [(0.4970958072141281, RandomForest(...)), (0.4442709713849852, Isotonic(...)), (0.49462012175937103, Huber(...)), (0.47945353122389217, Linear(...))]Best Parameters: {'selection__k': 6}Feature Scores: [14. 13. 34.  7. 11.  0.]Coefficients: [-0.00936056  0.00839489  0.04993435  0.01917123 -0.00980338 -0.00866   ]Intercept: 0.0008650329458570902Feature Mask: [ True  True  True  True  True  True]
-- Walks
Selected: HuberScores: [(0.14254305333064446, RandomForest(...)), (0.16482729246611094, Isotonic(...)), (0.21216094385148784, Huber(...)), (0.2070953547773696, Linear(...))]Best Parameters: {'selection__k': 5}Feature Scores: [3. 2. 4. 9. 5. 0.]Coefficients: [-0.0215347  -0.03318015  0.01634206  0.10532561  0.03956709]Intercept: 0.004988349342293752Feature Mask: [ True  True  True  True  True False]
-- Ks
Selected: RandomForestScores: [(0.23376643377180237, RandomForest(...)), (0.12023587274482421, Isotonic(...)), (0.1897403255397929, Huber(...)), (0.2067033257709334, Linear(...))]Best Parameters: {'regressor__max_depth': 1, 'regressor__n_estimators': 5, 'selection__k': 3}Feature Scores: [45. 45. 29. 27. 46.  5.]Feature Mask: [ True  True False False  True False]Feature Importances: [0.6 0.  0.4]

           Hits | 0.054
        Doubles | 0.035
       HomeRuns | 0.021
          Walks | 0.025
             Ks | 0.044
Features: Stuff, Control, Movement, Groundball Pct., Endurance
-- Hits
Selected: HuberScores: [(0.09861274656802703, RandomForest(...)), (-0.01612763410002993, Isotonic(...)), (0.21798516023183986, Huber(...)), (0.20887828852517468, Linear(...))]Best Parameters: {'selection__k': 3}Feature Scores: [23.  2. 17.  1.  1.]Coefficients: [-0.07867526  0.08989726 -0.04147175]Intercept: 0.259178452742236Feature Mask: [ True  True  True False False]
-- Doubles
Selected: HuberScores: [(-0.1711216086432481, RandomForest(...)), (-0.18484724949098355, Isotonic(...)), (-0.06896058732579761, Huber(...)), (-0.07193612776939758, Linear(...))]Best Parameters: {'selection__k': 1}Feature Scores: [5. 1. 6. 1. 0.]Coefficients: [0.01114164]Intercept: 0.04937241069887546Feature Mask: [False False  True False False]
-- HomeRuns
Selected: LinearScores: [(0.11384984109331253, RandomForest(...)), (0.026787227177391532, Isotonic(...)), (0.04968477096845029, Huber(...)), (0.0809531740378902, Linear(...))]Best Parameters: {'selection__k': 4}Feature Scores: [1. 2. 8. 0. 0.]Coefficients: [ 2.24258886e-04 -3.31930960e-05 -9.26139507e-04  1.83281851e-04]Intercept: 0.07483045792381489Feature Mask: [ True  True  True False  True]
-- Walks
Selected: LinearScores: [(0.059139085309726745, RandomForest(...)), (0.05321651005155048, Isotonic(...)), (0.2455888535757037, Huber(...)), (0.2599366164440231, Linear(...))]Best Parameters: {'selection__k': 5}Feature Scores: [ 5. 33.  7.  1.  0.]Coefficients: [-3.12184993e-05 -1.51902667e-03 -2.25196847e-04 -1.27171332e-04 -3.49057540e-03]Intercept: 0.2307085821306181Feature Mask: [ True  True  True  True  True]
-- Ks
Selected: LinearScores: [(0.5698085633356315, RandomForest(...)), (0.547419528611489, Isotonic(...)), (0.5912407214119549, Huber(...)), (0.6233501082544974, Linear(...))]Best Parameters: {'selection__k': 1}Feature Scores: [105.   8.  28.   0.   1.]Coefficients: [0.00217149]Intercept: 0.04309012256154071Feature Mask: [ True False False False False]

Hitting Features
             Average |  -   107   +  |   5  15  25  35  45  55  65  75  85  95
             Contact | 113 ( -5) 108 |  83  83  82  81 101 113 107 108 106 106
                 Gap | 105 ( -3) 102 | 100  99  99  98  97 105 102 102 102 101
               Power | 106 (  2) 108 | 102 104 104 105 106 109 109 110 111 113
                 Eye | 104 (  7) 111 |  88  91  94  97 101 103 107 110 114 116
           Avoid K's | 108 (  0) 108 | 104 105 106 109 111 107 107 110 111 112
       Running Speed | 107 (  1) 108 | 107 107 107 107 107 108 108 109 109 108

Pitching Features
             Average |  -   102   +  |   5  15  25  35  45  55  65  75  85  95
               Stuff |  96 ( 12) 108 |  66  70  75  79  84  90  95 101 107 115
             Control | 101 (  3) 104 | 100 100 100 100 101 101 102 102 103 104
            Movement |  95 ( 17) 112 |  64  68  73  79  84  91  98 107 118 129
     Groundball Pct. | 101 (  2) 103 |  99 100 101 101 102 103 103 104 104 105
           Endurance |  86 ( 35) 121 | 

3B Santiago, A     23| .350/.411/.504 125  41 | .379/.431/.514 130 109 | -3552---   4 |  + || 133 || ML     *    |
SS Hipple, S       36| .304/.393/.550 120 116 | .288/.378/.534 115 126 | -3265---   9 | -  || 125 || ML     *+   |
CF Howells, T      29| .274/.311/.397  96  86 | .339/.383/.517 120 110 | -2---368   8 |    || 124 || ML     *    |
C  Urrutia, R      34| .327/.403/.505 121 127 | .313/.394/.488 118 116 | 61------   3 |  - || 122 || ML     *    |
CF Anderson, I     30| .361/.383/.514 121 131 | .286/.310/.436 100 102 | -2---993  17 |  - || 121 || ML     *    |
RF Glessner, K     27| .303/.356/.399 106 104 | .319/.364/.485 116 131 | -2---327   5 |  + || 120 || ML     *+   |
LF Broyles, J      28| .280/.321/.370  98     | .313/.348/.442 111     | 22---726   5 |  - || 113 || ML     *  ~ |
C  Baxter, H       34| .296/.348/.434 108     | .282/.335/.428 105     | 71------   8 |  + || 113 || ML     *+ ~ |
SS Llorent, A      37| .262/.313/.507 105 100 | .261/.309/.442  98  73 | -2666---  12 |  + || 111 || ML     *  ~ |
C  Kelly, S        27| .307/.362/.445 110     | .307/.362/.446 110     | 5-------   1 |  - || 111 || ML     *    |
RF Campbell, T     34| .187/.243/.427  84 117 | .292/.355/.535 114 116 | -2---326   2 |  + || 111 || ML   F *    |
RF Telles, T       36| .184/.220/.332  73  60 | .332/.365/.487 114 127 | -2---626   3 |  + || 110 || ML     *+   |
RF Tetreault, A    36| .261/.327/.484 103  86 | .286/.355/.505 110 102 | -3---214   0 | +  || 109 || ML   F *+   |
RF Suarez, J       29| .369/.408/.490 125 133 | .292/.331/.391 101 101 | -2---616   3 |  + || 108 || ML     *    |
SS Kim, K          24| .281/.329/.361  99  92 | .252/.298/.339  91  93 | -3527---  14 | +- || 106 || ML     *+   |
LF Torres, J       30| .186/.238/.377  78     | .283/.335/.509 109     | -2---622   3 | ++ || 106 || AAA    *+ ~ |
RF Kensaku, L      32| .187/.244/.342  77   0 | .286/.344/.523 112 100 | -2---325   0 |  + || 106 || ML   F *  ~ |
CF Anthony, D      22| .171/.185/.234  59     | .305/.323/.401 101     | -2---677  11 |  + || 105 || AAA         |
2B Klein, F        30| .277/.329/.461 104 100 | .268/.314/.467 102  97 | -2411---   0 |  + || 103 || ML     *+ ~ |
2B Fusco, R        29| .185/.232/.269  71     | .294/.342/.438 108     | -3521425   1 |    || 102 || ML     *  ~ |
SS Gaffney, C      31| .283/.291/.379  93  96 | .268/.273/.380  90  98 | -3656---  12 |    || 102 || ML   F *+ ~ |
2B Castillo, J     31| .285/.344/.507 111 109 | .200/.263/.386  84  81 | -3982---  12 |  + || 101 || ML   F *    |
LF Borrero, P      25| .273/.313/.436  98     | .256/.290/.433  95     | -2---733   5 | ++ || 100 || AAA  F   #~ |
3B Escobar, J      30| .269/.299/.384  94     | .269/.299/.384  94     | -3241---   0 |    ||  94 || AAA    *+ ~ |
3B Hellwig, D      26| .265/.346/.453 105     | .193/.268/.374  84     | -2451---   2 |    ||  90 || ML     *+ ~ |
1B Province, R     22| .161/.183/.252  58     | .246/.271/.351  85     | -4---1-1   2 | -- ||  83 || AA    8*  ~ |
SS Davis, Z        25| .315/.354/.430 110     | .184/.226/.266  70     | -3554---   6 | ++ ||  83 || AAA     +#~ |
1B Salerno, C      31| .259/.304/.394  96     | .184/.227/.289  71     | -6---1-1   3 | -  ||  79 || AA   F  + ~ |
1B Burford, J      34| .201/.242/.354  76 112 | .201/.242/.354  76  66 | -4------   2 |  + ||  78 || ML     *  ~ |
SS Barton, M       23| .171/.184/.227  58     | .179/.198/.244  63     | -3337---  15 |    ||  77 || A     4     |
2B Moya, L         23| .172/.191/.253  61     | .178/.199/.268  64     | -3821---  11 |  + ||  74 || AA    9  #  |
3B Burns, J        21| .173/.195/.252  62     | .181/.212/.272  67     | -3562---   6 | ++ ||  72 || AAA   6     |
CF Vankirk, P      19| .142/.154/.170  47     | .172/.187/.207  57     | -2---383  15 |    ||  70 || A     7     |
LF Shisler, D      23| .177/.215/.258  66     | .177/.215/.257  66     | -2---412   0 | ++ ||  66 || AA          |
2B Fernandez, R    21| .145/.179/.227  56     | .176/.210/.262  65     | -3551---   2 |    ||  66 || AA    T     |
3B Martinez, A     19| .177/.216/.251  66     | .175/.205/.248  64     | -3241---   0 | -- ||  64 || A           |
C  Diaz, R         21| .247/.259/.313  81     | .176/.186/.235  59     | 2-------   0 | -- ||  63 || AAA         |
CF Miranda, J      17| .169/.171/.195  52     | .169/.170/.194  52     | -2---763   8 | -  ||  60 || A           |
2B Mercado, M      22| .171/.183/.217  57     | .171/.183/.224  58     | -2512---   2 |    ||  60 || AA       #  |
RF Morales, G      21| .171/.182/.194  54     | .173/.197/.207  58     | -2---526   3 |    ||  60 || A           |
RF Sherman, J      25| .169/.173/.232  56     | .175/.181/.248  59     | -2---213   0 |  + ||  58 || AA   F   #~ |
RF Johnson, T      24| .171/.186/.204  56     | .171/.186/.200  55     | -3---215   1 | -  ||  56 || A           |

                                 |  H/9  K/9 BB/9 HR/9 |
SP Raymond, J      F *     ML 33 |  7.9  9.7  2.3  1.1 | 124  98 | 124 153 | -- | 121/107 || 121 ||
SP Hurst, R          *+    ML 36 |  8.2  9.6  2.4  1.1 | 116 105 | 119 136 | -- | 110/102 || 110 ||
SP Dennis, B         *+ ~  ML 27 |  9.3  7.3  2.6  0.9 |  94  70 | 106  94 |  - | 103/ 89 || 103 ||
SP Gillen, M         *+    ML 34 |  9.1  8.6  2.7  1.4 | 113 119 |  97  83 |    | 100/ 87 || 100 ||
MR Johnston, M       *+    ML 34 |  9.1  8.0  2.9  0.4 | 102 117 | 109 117 |  + |  52/ 93 ||  93 ||
SP Milsap, W       F *  ~  ML 36 |  9.9  7.1  2.6  1.0 |  88 108 |  99  96 |  + |  93/ 83 ||  93 ||
SP Bray, J           *  ~  ML 34 |  9.3  7.3  3.6  0.8 |  95 104 |  98 108 |  + |  91/ 84 ||  91 ||
MR Luna, M           *     ML 36 |  9.2  9.3  2.2  1.3 | 105 107 | 104 127 |  - |  82/ 90 ||  90 ||
SP Spengler, M          ~ AAA 29 | 10.0  6.4  3.3  1.3 |  89     |  88     |  - |  88/ 76 ||  88 ||
MR Santoyo, J        *+ ~  ML 33 |  9.4  7.9  2.9  0.8 | 117 153 |  96  92 |  + |  79/ 87 ||  87 ||
SP Colon, H         1*     ML 25 | 10.9  6.4  2.1  1.0 |  83 108 |  90 187 |  + |  86/ 76 ||  86 ||
SP Trautman, E       *  ~  ML 32 | 11.2  6.3  2.7  1.4 |  77     |  82     |  + |  80/ 70 ||  80 ||
